var1,var2,var3,var4,labels
0.07644344172503487,0.6104675213361375,-0.09316387038752658,-0.7828194548332073,0
0.09972779625192002,0.6076497929601191,-0.1097199237305669,-0.780242035593327,0
0.13189665324623556,0.5745018296936437,-0.12754961762788453,-0.7976728750459541,0
0.11936963920224818,0.6147578339476566,-0.10306682396339834,-0.7727877617009786,0
0.1355216596070656,0.533130203634117,-0.07523081430898178,-0.831712925430884,0
0.11226985344012616,0.6586549285701708,-0.1269598946667834,-0.7331100532832401,0
0.06449781636935918,0.5005429915544665,-0.12312029638689638,-0.8544812098032889,0
0.10602455592714158,0.5802164471632347,-0.1431665615817404,-0.7947395822699328,0
0.13061026371860104,0.5545009245534556,-0.13360331440974255,-0.810937628957648,0
0.09663069422410084,0.5877037085375921,-0.12938968238765405,-0.7927957933771795,0
0.1408195892711996,0.6019337774493098,-0.09633089030129975,-0.7801063584004776,0
0.11572823730741333,0.5490007401418403,-0.12474773428552245,-0.8183172766134534,0
0.12507845402607384,0.5907246285435808,-0.08991815597942761,-0.7920318925370083,0
0.11635295717609573,0.6149053842166079,-0.130460540671888,-0.7689820577525863,0
0.11161058490409208,0.6007479278820222,-0.06350240959712056,-0.7890579499999871,0
0.0845075827502828,0.5876376145622229,-0.10378344380675034,-0.7979783826651796,0
0.11020098811353969,0.6205675420852186,-0.10968358307330531,-0.7685838793087658,0
0.14900413274550023,0.6203019424198501,-0.1204585982756398,-0.7606004172733474,0
0.11592642139463374,0.629509335841904,-0.14606690994902713,-0.7542834472056653,0
0.1465009211915624,0.5825802361891371,-0.12438581125401833,-0.7897252170536994,0
0.16121033015402186,0.5947946588166185,-0.09695307491978648,-0.7815565523738202,0
0.1214827460256485,0.5140896539273443,-0.116988997936368,-0.8409918813548533,0
0.13819213616966516,0.6036380877260581,-0.1184008298529002,-0.7762121076338845,0
0.10202859918143392,0.5620180725491509,-0.13363294337673984,-0.8098568314965806,0
0.11669635705674945,0.5720966069063954,-0.1531970221513707,-0.7972566117755471,0
